,work_id,fable_name,mattr_10,mattr_50,ttr,length,mean_sentence_length,mean_token_length,VERB,PRON,ADV,NOUN,ADJ,ADP,DET,PUNCT,AUX,CCONJ,NUM,SCONJ,INTJ,X,PROPN,PART
0,tlg0561.tlg001,Daphnis and Chloe - Phatta or the wood pigeon (1.27),0.8897727272727274,0.6483823529411764,0.5243243243243243,185,16.818181818181817,4.248648648648649,0.15675675675675677,0.032432432432432434,0.11351351351351352,0.22702702702702704,0.07567567567567568,0.02702702702702703,0.12432432432432433,0.15135135135135136,0.010810810810810811,0.06486486486486487,0.005405405405405406,0.010810810810810811,,,,
1,tlg0561.tlg001,Daphnis and Chloe - Echo (3.22-23),0.8915989159891599,0.6875987841945289,0.46296296296296297,378,18.0,4.2407407407407405,0.164021164021164,0.0291005291005291,0.10582010582010581,0.2037037037037037,0.0873015873015873,0.037037037037037035,0.12433862433862433,0.16137566137566137,0.007936507936507936,0.0582010582010582,0.005291005291005291,0.013227513227513227,0.0026455026455026454,,,
2,tlg0561.tlg001,Daphnis and Chloe - Syrinx (2.32-35),0.9134130146082339,0.7250490883590464,0.421259842519685,762,12.290322580645162,4.503937007874016,0.17979002624671916,0.03280839895013123,0.10498687664041995,0.20866141732283464,0.0984251968503937,0.031496062992125984,0.12335958005249344,0.15223097112860892,0.010498687664041995,0.047244094488188976,,0.010498687664041995,,,,
3,NA28-041MRK,Mark 4 - The Sower,0.8699004975124379,0.5949723756906077,0.29683698296836986,411,11.108108108108109,4.2725060827250605,0.18248175182481752,0.06569343065693431,0.08029197080291971,0.12408759124087591,0.0535279805352798,0.0681265206812652,0.13381995133819952,0.15328467153284672,0.0170316301703163,0.0851581508515815,0.0170316301703163,0.0170316301703163,0.0024330900243309003,,,
4,NA28-041MRK,Mark 12 - The Wicked Tenants ,0.9055299539170509,0.6210169491525424,0.415929203539823,226,7.0625,4.70353982300885,0.19911504424778761,0.10176991150442478,0.061946902654867256,0.14601769911504425,0.05752212389380531,0.05309734513274336,0.07964601769911504,0.19469026548672566,0.01327433628318584,0.07079646017699115,,0.017699115044247787,0.004424778761061947,,,
5,NA28-042LUK,Luke 18 - The Widow and the Unjust Judge,0.9342105263157895,0.6975,0.4472049689440994,161,10.0625,4.024844720496894,0.17391304347826086,0.09937888198757763,0.11801242236024845,0.16770186335403728,0.031055900621118012,0.08074534161490683,0.11801242236024845,0.14285714285714285,0.012422360248447204,0.037267080745341616,,0.018633540372670808,,,,
6,NA28-042LUK,"Luke 4 - Doctor, cure yourself",0.9246006389776359,0.6900366300366301,0.43167701863354035,322,10.0625,4.366459627329193,0.15527950310559005,0.09006211180124224,0.062111801242236024,0.16149068322981366,0.06521739130434782,0.09937888198757763,0.10248447204968944,0.15527950310559005,0.024844720496894408,0.043478260869565216,0.003105590062111801,0.015527950310559006,0.003105590062111801,0.003105590062111801,0.015527950310559006,
7,NA28-042LUK,Luke 16 - The Dishonest Manager,0.9208469055374594,0.6367790262172285,0.3670886075949367,316,8.31578947368421,4.1613924050632916,0.17088607594936708,0.10443037974683544,0.08860759493670886,0.11708860759493671,0.10443037974683544,0.05379746835443038,0.12341772151898735,0.16772151898734178,0.012658227848101266,0.028481012658227847,0.0031645569620253164,0.02531645569620253,,,,
8,NA28-042LUK,Luke 16 - The Barren Fig Tree,0.9741935483870968,0.6916981132075473,0.5392156862745098,102,10.2,3.715686274509804,0.19607843137254902,0.09803921568627451,0.13725490196078433,0.12745098039215685,0.029411764705882353,0.058823529411764705,0.0784313725490196,0.17647058823529413,,0.0392156862745098,0.00980392156862745,0.0392156862745098,0.00980392156862745,,,
9,NA28-042LUK,Luke 12 - The Rich Fool,0.9281818181818184,0.6302857142857143,0.5126050420168067,119,7.933333333333334,3.80672268907563,0.21008403361344538,0.11764705882352941,0.08403361344537816,0.1092436974789916,0.08403361344537816,0.04201680672268908,0.08403361344537816,0.21008403361344538,0.008403361344537815,0.04201680672268908,,0.008403361344537815,,,,
10,NA28-042LUK,Luke 21 - The Fig Tree,0.9367647058823529,0.6991666666666667,0.5310344827586206,145,9.666666666666666,4.358620689655172,0.1724137931034483,0.06896551724137931,0.10344827586206896,0.14482758620689656,0.06896551724137931,0.05517241379310345,0.1103448275862069,0.14482758620689656,0.013793103448275862,0.05517241379310345,,0.05517241379310345,0.006896551724137931,,,
11,NA28-042LUK,Luke 8 - The Parable of the Sower,0.8932944606413995,0.632079207920792,0.35795454545454547,352,10.057142857142857,4.139204545454546,0.19318181818181818,0.07102272727272728,0.09943181818181818,0.13920454545454544,0.048295454545454544,0.07386363636363637,0.13068181818181818,0.15625,0.019886363636363636,0.05397727272727273,,0.011363636363636364,,,,0.002840909090909091
