,adj,adp,adv,aux,cconj,det,intj,noun,num,part,pron,propn,sconj,verb,fable_name,work_id
49,7,6,11,4,2,10,0,18,0,0,4,0,2,12,Babrius - 126) Truth and Falsehood,tlg0614.tlg001
50,11,4,4,3,4,9,0,14,0,2,4,0,0,15,Babrius - 5) The Fighting Cocks,tlg0614.tlg001
51,6,3,5,0,1,7,0,21,0,2,1,0,2,14,Babrius - 23) Better Lose the Ox than Catch the Thief,tlg0614.tlg001
52,6,4,7,1,5,5,3,10,1,2,6,0,2,13,Babrius - 53) Three True Statements,tlg0614.tlg001
53,4,4,5,1,1,4,0,6,0,0,6,0,0,11,Babrius - 110) Always Ready to Go,tlg0614.tlg001
54,13,3,7,1,3,4,0,16,0,1,3,0,1,18,Babrius - 46) Too Many Friends,tlg0614.tlg001
55,18,3,17,1,3,3,0,16,0,4,7,0,4,21,Babrius - 63) Hero-Cult,tlg0614.tlg001
56,4,1,8,0,1,4,0,5,0,0,3,0,0,11,Babrius - 121) Unwelcome Solicitude,tlg0614.tlg001
57,14,3,18,4,3,8,0,22,0,0,8,0,1,30,Babrius - 1) The Lion and the Bowman,tlg0614.tlg001
58,6,1,6,0,3,5,0,11,0,0,1,0,2,8,Babrius - 109) Show me How,tlg0614.tlg001
59,7,4,14,0,4,6,0,16,0,0,6,0,2,19,Babrius - 92) Interested only in the Tracks,tlg0614.tlg001
60,14,3,18,0,4,6,1,24,0,2,8,0,2,34,Babrius - 122) Doctor Wolf,tlg0614.tlg001
61,13,4,26,3,5,14,0,32,0,1,8,0,1,32,Babrius - 88) How the Lark Knew When to Leave,tlg0614.tlg001
62,6,4,7,0,5,9,0,20,0,2,4,0,2,19,Babrius - 3) The Goat and the Goatherd,tlg0614.tlg001
63,1,1,2,1,0,0,0,6,0,0,2,0,1,5,Babrius - 39) Mediation à la Mode,tlg0614.tlg001
64,13,8,17,1,5,11,0,36,0,5,3,0,2,34,Babrius - 76) The Knight and his Horse,tlg0614.tlg001
65,10,4,11,1,1,5,0,12,0,0,1,0,0,15,Babrius - 19) The Fox and the Grapes,tlg0614.tlg001
66,9,1,24,1,3,4,0,16,0,1,11,0,1,20,Babrius - 89) The Wolf and the Lamb,tlg0614.tlg001
67,6,2,8,1,3,2,0,9,0,0,6,0,0,11,Babrius - 65) Crane and Peacock,tlg0614.tlg001
68,6,4,11,1,2,12,0,20,0,0,5,0,4,23,Babrius - 26) The Farmer and the Cranes,tlg0614.tlg001
69,19,5,7,0,1,7,0,19,0,2,9,0,1,24,Babrius - 45) The Outcome of a Foreign Investment,tlg0614.tlg001
70,7,3,8,1,1,6,0,13,0,0,3,0,0,14,Babrius - 114) The Boasting Lamp,tlg0614.tlg001
71,11,4,15,1,5,20,1,46,0,4,11,0,3,35,Babrius - 33) Outwitting the Birds,tlg0614.tlg001
72,5,3,6,2,3,6,0,10,1,2,4,0,0,9,Babrius - 66) The Two Wallets,tlg0614.tlg001
73,11,1,12,2,2,5,0,11,0,0,5,0,2,15,Babrius - 84) The Gnat on the Bull's Horn,tlg0614.tlg001
74,5,2,8,0,3,11,0,20,0,0,4,0,1,24,Babrius - 32) The Weasel as Bride,tlg0614.tlg001
75,3,1,8,0,0,2,0,6,0,0,4,0,0,13,Babrius - 69) Not Running for his Life,tlg0614.tlg001
76,10,3,7,2,4,0,0,9,0,1,3,0,0,13,Babrius - 25) Why the Hares Refrained from Suicide,tlg0614.tlg001
77,3,2,9,1,1,7,1,18,0,1,5,0,1,13,Babrius - 104) Distinguished but not Honoured,tlg0614.tlg001
78,28,4,17,0,12,12,1,47,0,0,6,0,2,31,Babrius - 72) Borrowed Plumage,tlg0614.tlg001
79,3,1,1,0,0,1,0,4,0,0,2,0,1,7,Babrius - 41) Overextended,tlg0614.tlg001
80,3,3,7,0,3,4,0,11,0,0,6,0,0,12,Babrius - 78) No Use Praying for a Robber,tlg0614.tlg001
81,5,3,17,1,3,6,0,23,0,0,2,0,0,20,Babrius - 68) A Contest in Archery,tlg0614.tlg001
82,22,4,24,3,5,14,0,22,0,0,7,0,1,21,Babrius - 85) The Heterogenous Dogs,tlg0614.tlg001
83,26,7,15,3,11,10,0,41,0,6,19,0,1,32,Babrius - 12) The Nightingale and the Swallow,tlg0614.tlg001
84,0,1,10,0,3,5,0,9,0,0,5,0,0,10,Babrius - 55) An Unwelcome Partner,tlg0614.tlg001
85,13,3,6,0,2,8,0,18,0,0,0,0,3,20,Babrius - 86) Delfation Necessary,tlg0614.tlg001
86,7,0,9,0,1,5,0,16,0,0,4,0,1,17,Babrius - 94) Dr. Heron's Fire,tlg0614.tlg001
87,6,2,4,0,3,5,0,11,0,0,2,0,1,14,Babrius - 20) Heracles and the Ox-Driver,tlg0614.tlg001
88,2,4,7,0,2,5,0,9,0,1,0,0,3,11,Babrius - 54) Yes and No,tlg0614.tlg001
89,6,1,4,0,2,6,0,5,0,0,0,0,0,8,Babrius - 73) How the Kite Lost his Voice,tlg0614.tlg001
90,15,0,7,1,0,7,0,12,0,2,4,0,0,11,Babrius - 56) A Beauty Contest,tlg0614.tlg001
91,9,2,4,3,3,9,0,21,0,0,6,0,0,19,Babrius - 11) The Fire-Bearing Fox,tlg0614.tlg001
92,8,3,8,1,2,5,1,13,0,1,7,0,1,17,Babrius - 52) One Toils and Another Complains,tlg0614.tlg001
93,10,1,13,0,1,9,0,13,0,0,6,0,1,17,Babrius - 61) Custom Stales,tlg0614.tlg001
94,10,5,10,1,4,11,0,20,0,0,4,0,1,22,Babrius - 97) Suspicious Hospitality,tlg0614.tlg001
95,7,2,6,1,4,3,0,9,0,0,2,0,2,14,Babrius - 60) Surfeited at Last,tlg0614.tlg001
96,8,0,8,0,1,1,0,5,0,0,5,0,1,13,Babrius - 44) Divide and Conquer,tlg0614.tlg001
97,9,0,11,2,2,4,0,15,0,0,7,0,1,11,Babrius - 24) The Frogs at the Sun's Wedding,tlg0614.tlg001
98,3,3,7,0,4,8,0,11,0,1,6,0,0,12,Babrius - 125) A Donkey on the Tiles,tlg0614.tlg001
99,13,2,14,0,4,8,0,23,0,0,5,0,0,13,Babrius - 102) Once in Utopia,tlg0614.tlg001
