,NA28-041MRK,NA28-042LUK,tlg0007.tlg121,tlg0532.tlg001,tlg0561.tlg001,tlg0614.tlg001,tlg1765.tlg003
0,"('verb adp det noun', 7, 0.011093502377179081)","('det noun det noun', 35, 0.008297771455666193)","('det noun verb punct', 2, 0.018018018018018018)","('det noun punct verb', 8, 0.009259259259259259)","('verb det noun punct', 15, 0.011398176291793313)","('noun verb punct punct', 177, 0.012268662923684759)","('punct noun verb punct', 7, 0.008816120906801008)"
1,"('verb punct punct adv', 7, 0.011093502377179081)","('punct punct verb adv', 32, 0.007586533902323376)","('verb det noun punct', 2, 0.018018018018018018)","('verb det noun punct', 6, 0.006944444444444444)","('det noun det noun', 15, 0.011398176291793313)","('verb punct adv punct', 111, 0.007693907257226035)","('verb verb punct verb', 7, 0.008816120906801008)"
2,"('punct punct adv verb', 6, 0.009508716323296355)","('det noun pron punct', 31, 0.00734945471787577)","('verb punct det cconj', 2, 0.018018018018018018)","('noun punct det adv', 6, 0.006944444444444444)","('det noun verb punct', 12, 0.00911854103343465)","('det noun verb punct', 88, 0.006099674221944964)","('det noun pron verb', 6, 0.007556675062972292)"
3,"('cconj verb det noun', 6, 0.009508716323296355)","('verb adp det noun', 29, 0.006875296348980559)","('punct punct noun adv', 1, 0.009009009009009009)","('noun punct verb adv', 6, 0.006944444444444444)","('adv verb det noun', 10, 0.007598784194528876)","('adv verb punct punct', 86, 0.005961045262355306)","('verb det noun punct', 6, 0.007556675062972292)"
4,"('adp det noun punct', 6, 0.009508716323296355)","('adp det noun pron', 28, 0.006638217164532954)","('adv adv verb punct', 1, 0.009009009009009009)","('noun verb punct adv', 6, 0.006944444444444444)","('noun verb det noun', 7, 0.005319148936170213)","('verb punct punct verb', 81, 0.0056144728633811605)","('det noun verb verb', 5, 0.006297229219143577)"
5,"('verb det noun cconj', 6, 0.009508716323296355)","('punct punct adv verb', 25, 0.005926979611190137)","('verb noun verb punct', 1, 0.009009009009009009)","('punct det noun punct', 6, 0.006944444444444444)","('adj verb det noun', 7, 0.005319148936170213)","('adj verb punct punct', 74, 0.005129271504817357)","('verb punct verb punct', 5, 0.006297229219143577)"
6,"('det noun det noun', 6, 0.009508716323296355)","('noun adp det noun', 25, 0.005926979611190137)","('adp det noun verb', 1, 0.009009009009009009)","('adv verb punct adv', 5, 0.005787037037037037)","('verb punct det noun', 7, 0.005319148936170213)","('verb punct punct noun', 70, 0.0048520135856380394)","('verb punct det noun', 5, 0.006297229219143577)"
7,"('punct adv verb pron', 5, 0.00792393026941363)","('verb det noun pron', 23, 0.005452821242294926)","('verb adp det noun', 1, 0.009009009009009009)","('det noun verb punct', 5, 0.005787037037037037)","('punct punct det adv', 7, 0.005319148936170213)","('verb punct punct det', 70, 0.0048520135856380394)","('punct adp det noun', 5, 0.006297229219143577)"
8,"('det noun verb punct', 5, 0.00792393026941363)","('verb punct punct verb', 22, 0.005215742057847321)","('cconj adv verb det', 1, 0.009009009009009009)","('adv verb adv verb', 5, 0.005787037037037037)","('noun noun verb punct', 7, 0.005319148936170213)","('verb punct punct adv', 68, 0.004713384626048382)","('noun verb verb punct', 5, 0.006297229219143577)"
9,"('punct punct adv pron', 5, 0.00792393026941363)","('det noun punct punct', 20, 0.00474158368895211)","('pron punct det adv', 1, 0.009009009009009009)","('punct adv punct adv', 5, 0.005787037037037037)","('verb det noun det', 6, 0.004559270516717325)","('verb punct punct punct', 68, 0.004713384626048382)","('verb punct verb adv', 5, 0.006297229219143577)"
