,work_id,fable_name,top_frequency,top_frequency_in_work,top_tf-idf,top_ctf-idf,x_umap,y_umap
10,NA28-042LUK,Luke 21 - The Fig Tree,καί πᾶς γίγνομαι ὑμεῖς οὗτος,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,παρέρχομαι ὑμεῖς πᾶς καί ἐγγύς,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-2.6119928,1.302294
11,NA28-042LUK,Luke 8 - The Parable of the Sower,καί αὐτός δέ ἀκούω εἰμί,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,καί ἀκούω αὐτός ἄκανθα πίπτω,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-2.2241158,1.644866
12,NA28-042LUK,Luke 6 - Blind guiging a Blind,καί οὐ δέ αὐτός σύ,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,ὀφθαλμός ἀδελφός οἰκία δοκός κάρφος,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-3.3015234,2.0218325
13,NA28-042LUK,Luke 19 - The Ten Pounds,καί αὐτός μνᾶ ὅς εἶπον,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,μνᾶ δέκα αὐτός καί δοῦλος,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-2.961991,1.7615263
14,NA28-042LUK,Luke 15 - The Lost Coin,καί δραχμή εὑρίσκω εἷς λέγω,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,δραχμή εὑρίσκω ἀπόλλυμι εἷς ἐπιμελής,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-2.7364054,2.2545128
15,NA28-042LUK,Luke 12 - The Faithful and Unfaithful Slave,καί αὐτός ἐπί δέ κύριος,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,ἐπί κύριος καί αὐτός δοῦλος,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-2.76553,2.268503
16,NA28-042LUK,Luke 14 - The Great Dinner,καί εἶπον αὐτός δοῦλος ἐγώ,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,καί δοῦλος παραιτέομαι εἶπον ἐξέρχομαι,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-2.91881,1.5306499
17,NA28-042LUK,Luke 18 - The Pharisee and the Tax Collector,καί οὗτος ἑαυτοῦ εἰς δέ,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,τελώνης φαρισαῖος ἑαυτοῦ ταπεινόω προσεύχομαι,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-2.9221191,1.3148246
18,NA28-042LUK,Luke 20 - The Wicked Tenants,καί αὐτός δέ οὗτος ἀμπελών,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,ἀμπελών γεωργός αὐτός καί οὗτος,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-2.4679265,1.9511513
19,NA28-042LUK,Luke 14 - Humility and Hospitality,σύ καί καλέω αὐτός ὅταν,καί αὐτός δέ σύ ἐν λέγω εἰμί οὗτος ἐγώ εἶπον,καλέω σύ ὅταν τόπος μηδέ,κύριος καλέω δοῦλος παραβολή ἵνα υἱός ὑμεῖς ἐπί ἀπό ποιέω,-3.2465668,1.2816297
