,work_id,fable_name,mattr_10,mattr_50,ttr
0,tlg0007.tlg121,Plutarch - Renting the Ass or its Shadow (Lives of the Ten Orators (Moralia 848A-B)),0.9512195121951219,0.72,0.72
1,tlg0532.tlg001,Leucippe and Clitophon - Conops or the gnat,0.9821538461538463,0.9046315789473686,0.7395209580838323
2,tlg0614.tlg001,Babrius - 43) Betrayed by the Source of his own Pride,0.9882352941176472,0.92,0.9333333333333333
3,tlg0614.tlg001,Babrius - 69) Not Running for his Life,1.0,0.44,1.0
4,tlg0614.tlg001,Babrius - 46) Too Many Friends,0.9921052631578948,0.88,0.9361702127659575
5,tlg0614.tlg001,Babrius - 32) The Weasel as Bride,0.9775,0.92,0.9387755102040817
6,tlg0614.tlg001,Babrius - 97) Suspicious Hospitality,0.9906976744186047,0.9133333333333334,0.9038461538461539
7,tlg0614.tlg001,Babrius - 36) The Oak and the Reeds,1.0,0.94,0.9411764705882353
8,tlg0614.tlg001,Babrius - 116) A Domestic Triangle,0.9931818181818183,0.925,0.9245283018867925
9,tlg0614.tlg001,Babrius - 22) The Middle-Aged Man with Two Mistresses,0.9733333333333333,0.852,0.8518518518518519
10,tlg0614.tlg001,Babrius - 95) The Stag without a Heart,0.991184573002755,0.9456346749226006,0.782258064516129
11,tlg0614.tlg001,Babrius - 125) A Donkey on the Tiles,1.0,0.5,0.9615384615384616
12,tlg0614.tlg001,Babrius - 113) Enemy Infiltration,1.0,0.38,0.95
13,tlg0614.tlg001,Babrius - 24) The Frogs at the Sun's Wedding,0.9961538461538461,0.68,0.9714285714285714
14,tlg0614.tlg001,Babrius - 122) Doctor Wolf,0.9952380952380953,0.9391304347826089,0.9027777777777778
15,tlg0614.tlg001,Babrius - 26) The Farmer and the Cranes,0.9775,0.92,0.9387755102040817
16,tlg0614.tlg001,Babrius - 15) The Athenian and the Theban,0.9980769230769231,0.9049999999999999,0.8852459016393442
17,tlg0614.tlg001,Babrius - 77) The Fox and the Crow,0.9921568627450981,0.890909090909091,0.8666666666666667
18,tlg0614.tlg001,Babrius - 101) The Vainglorious Wolf,0.9307692307692308,0.58,0.8285714285714286
19,tlg0614.tlg001,Babrius - 18) The North Wind and the Sun,0.9933333333333333,0.9470000000000003,0.8695652173913043
20,tlg0614.tlg001,Babrius - 100) Freedom Preferred to Security,0.9743589743589743,0.92,0.9583333333333334
21,tlg0614.tlg001,Babrius - 111) A Backfiring Stratagem,0.9984126984126984,0.8652173913043476,0.8333333333333334
22,tlg0614.tlg001,Babrius - 4) The Fisherman and the Fish,0.9823529411764705,0.5,0.9615384615384616
23,tlg0614.tlg001,Babrius - 27) The Unappreciated Weasel,0.9476190476190476,0.54,0.9
24,tlg0614.tlg001,Babrius - 17) Cat as Fowler,1.0,0.54,1.0
